Date,Stock,Twit
11/7/19,AMZN,2000 more $GRPN Long shares limit order at 2.91 today.  Groupon Plus/Select/Vouchers = priceless local O2O discoveries + overspending on discounts to upgrade experiences!  Preposterous market cap/PPS evaluations = $AMZN asks consumers to pay for expensive Prime yet EBAY/GRPN Goods deals are as good if not better w/o membership + Bitcoin blockchain garbage $OSTK + $SNAP super fugly GUI & majority under 25 demographic + overrated POS “social network” $PINS (obsolete GPS ads & majority female only demographic yet 19+!?!). #CluelessWallStreet #Amateurzon #Groupon4Life #GrouponPlus #GrouponSelect #LocalHeartGlobalImpact #VoucherOverspend #OwnTheExperience #TreatYourself2More #GrouponWorks #MakeLifeLessBoring #SpaceCatCuriosity  #Overschlock.com #CostNo #Limpinterest #SnapCrap #Couponsdotcomblows #GrubFlub #Pricelame #ChewFlea #Walfart #Rofluku #YelpSucks #PinduoDOH #KeepCalmAndGroupon #Yay4Ebay #Twitterrific #AngiesListless
11/7/19,AMZN,"FOOD FOR THOUGHT. When you see someone on these streams who are so called PERMA-BULLS- with monikers that imply to such- yet they are pushing these socialists who will ruin this countries economy/ YOU KNOW THEY ARE FULL OF SHIT ABOUT WHAT THEY CLAIM TO BE & THAT THEY ARE TRUE LONGS! One thing I’ll never do? Any action that hurts my long portfolio! I don’t give a shit if people short markets & markets dip! That’s life in these markets! Normal ebbs & flows! I salute any investor who backs up their mouth with their actions! You go short & get paid?? Nice! You earned it! But when some bullshit politician starts pushing all policies that will hurt this country, FRUCK THEM! A war on oil, tech, healthcare— a war on success! Screw that! You’re holding a long portfolio & you are pushing this? You are full of shit & probably are a scam account! Even JAMIE DIMON, best Banker in our life"
11/7/19,AMZN,"$AMZN we have all heard about the billions & billions of dollars sitting on the sidelines! I’ve stayed invested & continued to buy the dips! Fear has never been a factor for me! Why? Because I always knew this very simple thing at the end of the day: the game of chicken will only go so far, because at the end of the day money makes the world go around! SO BELIEVING THIS TARIFF STORY IS TRUE ( all that money on the sidelines will get dusted off for those year end returns). At least that’s what I’m thinking! The ones who were paralyzed by fear will feel the FOMO! Actual tariff reductions? Hugeeeee! The world can breathe! __"
11/7/19,AMZN,"$AAPL cnbc.com/2019/11/06/bill-ga... $GOOG  $MSFT $AMZN  I don't get it. I like him, but sometimes he makes no sense. That's EXACTLY why they rolled out the antitrust case, not to allow MSFT to take over mobile sector as well! What's the point of having 1 company providing ALL services, that smells more like Communism, where only gov't was the producer of everything. That didn't end well for consumers. OMG those ultrarich, they don't understand that the point is not the ""usefullness and efficiency of one large supplier of everything"", the point is living in a diverse world with multiple companies :)"
11/7/19,AMZN,"$AMZN continuation from previous post: even Jamie dimon- a man with a even temperament known for his middle of the road sound judgement, came out against Warren! Who you going to listen to? Some clown on stock twits with a few thousand followers ( half are most likely bots). Telling you how great these socialists are- or people like Jamie dimon? Ever heard of the Dimon bottom? The guys judgement is undeniable! And, no, he’s far from perfect! But, hey, it’s your money so lose it or make it however you see fit! Good luck to bears & bulls alike! The ones who put the work in! Who risk it all everyday!"
11/7/19,AMZN,"$AMZN $COST $M $KSS $WMT Will Consumer Confidence And Consumer Spending Be The Catalyst To Christmas Shopping Season? Analysts Await Insight: The waning weeks of earnings season are upon us, which means many major retailers are next in line to open t.. https://newsfilter.io/articles/will-consumer-confidence-and-consumer-spending-be-the-catalyst-to-christmas-shopping-season-analysts-309db227bc1496ec7b623f0b03ec4815"
11/7/19,AMZN,"$DIS $AMZN Disney Trades Higher On Q4 Earnings Beat; Iger Announces Distribution Deal With Amazon: Walt Disney Co posted fourth-quarter earnings of $1.07 per share Thursday, beating the consensus estimate of 95 cents. Sales were $19.1 billion, missin.. https://newsfilter.io/articles/disney-trades-higher-on-q4-earnings-beat-iger-announces-distribution-deal-with-amazon-5f0913a6ce060d694f00a183cb6256d4"
11/7/19,AMZN,"$AMZN Exclusive: Sears says it has secured a $250 million lifeline, will close 96 stores: Sears told Reuters on Thursday it had won a $250 million lifeline from lenders that include billionaire owner Eddie Lampert, and will close additional stores, a.. https://newsfilter.io/articles/exclusive-sears-says-it-has-secured-a-250-million-lifeline-will-close-96-stores-28aecff75a6ef742e3b7a1e5cff28215"
11/7/19,AMZN,"$AMZN $TGT $BBY $WMT $KSS Facing shorter holiday season, U.S. retailers rev up faster delivery, early deals: U.S. retailers are rushing in with faster-than-ever delivery deals and earlier Christmas promotions in hopes of easing the impact of this yea.. https://newsfilter.io/articles/facing-shorter-holiday-season-us-retailers-rev-up-faster-delivery-early-deals-2f4368d752ef0110ee4f06ddca580851"
11/7/19,AMZN,"$AMZN Amazon To Build Second Robotics Development Facility In Massachusetts: amazon.com/ said Wednesday it will build a $40 million robotics research and manufacturing facility in Westborough, Massachusetts, about 30 miles southwest of Boston. The 350.. https://newsfilter.io/articles/amazon-to-build-second-robotics-development-facility-in-massachusetts-33c2a578d22dc2357333e5a575332e90"
