None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
0,WMT,2018-03-27,87.96,88.04,85.48,86.05,6395554.0,0.0,1.0,87.96,88.04,85.48,86.05,6395554.0
1,WMT,2018-03-26,86.22,87.69,86.11,87.5,8640866.0,0.0,1.0,86.22,87.69,86.11,87.5,8640866.0
2,WMT,2018-03-23,87.35,87.74,85.28,85.42,9762296.0,0.0,1.0,87.35,87.74,85.28,85.42,9762296.0
3,WMT,2018-03-22,87.53,88.27,86.99,87.14,11338049.0,0.0,1.0,87.53,88.27,86.99,87.14,11338049.0
4,WMT,2018-03-21,87.89,89.68,87.68,88.18,11687930.0,0.0,1.0,87.89,89.68,87.68,88.18,11687930.0
5,WMT,2018-03-20,87.86,88.147,87.37,87.95,8040214.0,0.0,1.0,87.86,88.147,87.37,87.95,8040214.0
6,WMT,2018-03-19,88.91,89.075,87.1,87.45,10774186.0,0.0,1.0,88.91,89.075,87.1,87.45,10774186.0
7,WMT,2018-03-16,87.72,90.09,87.5,89.17,28057241.0,0.0,1.0,87.72,90.09,87.5,89.17,28057241.0
8,WMT,2018-03-15,87.68,88.79,85.903,87.51,16136617.0,0.0,1.0,87.68,88.79,85.903,87.51,16136617.0
9,WMT,2018-03-14,88.51,88.99,87.5,87.67,11021885.0,0.0,1.0,88.51,88.99,87.5,87.67,11021885.0
10,WMT,2018-03-13,88.39,88.9,87.9801,88.3,7092501.0,0.0,1.0,88.39,88.9,87.9801,88.3,7092501.0
11,WMT,2018-03-12,88.7,89.44,87.88,88.07,8212498.0,0.0,1.0,88.7,89.44,87.88,88.07,8212498.0
12,WMT,2018-03-09,88.24,88.72,87.53,88.72,9723234.0,0.0,1.0,88.24,88.72,87.53,88.72,9723234.0
13,WMT,2018-03-08,87.77,88.1301,87.34,87.92,9419014.0,0.0,1.0,87.77,88.1301,87.34,87.92,9419014.0
14,WMT,2018-03-07,87.98,88.53,87.335,87.74,11453034.0,0.0,1.0,87.98,88.53,87.335,87.74,11453034.0
15,WMT,2018-03-06,90.35,90.5,88.63,89.06,11030170.0,0.0,1.0,90.35,90.5,88.63,89.06,11030170.0
16,WMT,2018-03-05,88.14,90.5,88.0714,89.98,13383214.0,0.0,1.0,88.14,90.5,88.0714,89.98,13383214.0
17,WMT,2018-03-02,87.27,88.9,87.24,88.77,19043367.0,0.0,1.0,87.27,88.9,87.24,88.77,19043367.0
18,WMT,2018-03-01,90.17,90.18,87.7101,89.08,18909571.0,0.0,1.0,90.17,90.18,87.7101,89.08,18909571.0
