tweet,date
https://t.co/Mqj5tXaDAz,2019-11-18 04:38:28
“All they do is bring up witnesses who didn’t witness anything.” @KatrinaPierson @SteveHiltonx  Nothing matters exc… https://t.co/mOVG17IFDL,2019-11-18 03:39:38
“The Impeachment started before he even became President.” @greggutfeld  @FoxNews,2019-11-18 02:40:04
https://t.co/1Rg66Tn4uP,2019-11-17 22:57:43
https://t.co/D66PEkuX6d,2019-11-17 22:51:37
Where is the Fake Whistleblower?,2019-11-17 20:12:27
https://t.co/ru2n7i2gzu,2019-11-17 20:10:21
"Republicans &amp; others must remember, the Ukrainian President and Foreign Minister both said that there was no pressu… https://t.co/mFL4wwDR8b",2019-11-17 20:08:08
"The Crazed, Do Nothing Democrats are turning Impeachment into a routine partisan weapon. That is very bad for our C… https://t.co/8imWgyrBin",2019-11-17 20:03:44
"Tell Jennifer Williams, whoever that is, to read BOTH transcripts of the presidential calls, &amp; see the just release… https://t.co/z5Iwr6LSOp",2019-11-17 19:57:12
https://t.co/I3lO117SVh,2019-11-17 19:56:02
Paul Krugman of @nytimes has been wrong about me from the very beginning. Anyone who has followed his “words of wis… https://t.co/vLB1qdYWz6,2019-11-17 19:49:47
Schiff is a Corrupt Politician! https://t.co/DDBqlfIFLV,2019-11-17 19:47:32
".@SteveScalise blew the nasty &amp; obnoxious Chris Wallace (will never be his father, Mike!) away on Chris’s lowest ra… https://t.co/kIXKIiCBQd",2019-11-17 19:30:09
Thanks Eric! https://t.co/6Ai7bqto3P,2019-11-17 18:34:46
RT @EricTrump: I hope no one who serves our country and volunteers to do the unthinkable is  ever treated like this again! Great job @realD…,2019-11-17 18:34:10
RT @EricTrump: Trump Washington D.C! @TrumpDC https://t.co/83Gu07l2cP,2019-11-17 18:33:34
https://t.co/nJBvFD1fGD,2019-11-17 18:10:59
https://t.co/N6jsblFuMc,2019-11-17 18:10:19
https://t.co/8bPq1Oy71z,2019-11-17 17:54:12
Paul Krugman has called me wrong from day one. People at the Failing New York Times are very angry at him for havin… https://t.co/qmCAmTpOko,2019-11-17 17:43:27
https://t.co/Ypzhrlpgkz,2019-11-17 17:33:01
"RT @HouseGOP: Adam Schiff’s track record:
✔️ Spread false allegations about collusion
✔️ Fabricated a call transcript during a congressiona…",2019-11-17 17:30:05
https://t.co/Ks1BN41CGf,2019-11-17 17:29:58
"RT @GOPLeader: This. This is the impeachment that Democrats have spent the last three years working on. ↓
 
Hours of hearsay from handpicke…",2019-11-17 17:28:49
https://t.co/YvlBpfsiTa,2019-11-17 17:26:49
https://t.co/z0I7wBsgTP,2019-11-17 17:26:10
