stock,date,tweet
tgt,11/10/2019 2:18,Value Investing: A Value Investor's Journey Through The Unknown: https://t.co/NpZH65l0ig $SPY $KO $PEP $TGT $WMT $M $KSS $STX $WDC
tgt,11/10/2019 4:28,Target $TGT Coverage Initiated at Nomura https://t.co/lKagHP8xHW
tgt,11/10/2019 8:46,"https://t.co/7iKAfrsy67   BUY!!           $cron $TLRY $lyft $uber $AAPL $TSLA 
$AMZN $TSLA $WMT $TGT $NVDA $SPY… https://t.co/T2QQtMzYxG"
tgt,11/10/2019 8:57,4 Retail Giants Poised to Beat Earnings Estimates This Month $LOW $ROST $WMT $TGT https://t.co/QDBIA3OV9C
tgt,11/10/2019 10:18,"Claim FREE BitBay for watching videos – current returns: 19.6908 $BAY daily

https://t.co/0Qag0r0Oid

$QTL $DAXX… https://t.co/fX0vL9BzWN"
tgt,11/10/2019 11:05,$TGT in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators:… https://t.co/Warf1DKiCx
tgt,11/10/2019 11:59,"Conglomerates Wanting A Turnaround. 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb… https://t.co/AatuzMU6rU"
tgt,11/10/2019 12:04,"We Need Large Dividend Increase Announcements! 
  
$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg… https://t.co/HqKxhIl0Tf"
tgt,11/10/2019 12:10,"I'd Like To See Accurate Sum Of The Parts For Conglomerates! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm… https://t.co/GwGGbnlttP"
tgt,11/10/2019 12:33,Shareholder Yield: A Better Approach to Dividend Investing by Mebane Faber: https://t.co/k7kV33y7FD $HD $TGT $WMT $BBBY $KSS
tgt,11/10/2019 12:36,"I Played Golf At Winged Foot With a Few Of Cramer's NYSE Buddy's Several Yrs. Ago. I Kept The Card. 

$aapl $amzn… https://t.co/qCQnO5CuhW"
tgt,11/10/2019 12:48,"Was A Little Nervous Then  Called An Alcoholic When I Started Playing Better After a Beer. 

$aapl $amzn $agn $brk… https://t.co/fImJi4KBXa"
tgt,11/10/2019 12:50,"I Broke 100 At Winged Foot! 
Nice Place! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr… https://t.co/aMKDoaBo7F"
tgt,11/10/2019 13:05,"The Best Part Was Someone Else Kept Score! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr… https://t.co/78je8scyoV"
tgt,11/10/2019 13:13,"My Caddie Keeps Score Too

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb $ge $wfc $jpm… https://t.co/eHXIWuFfKg"
tgt,11/10/2019 13:16,"RT @brianfires: The Best Part Was Someone Else Kept Score! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb $ge…"
tgt,11/10/2019 13:16,"RT @brianfires: My Caddie Keeps Score Too

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb $ge $wfc $jpm $bac $c…"
tgt,11/10/2019 13:22,"I'm Still Working To Get My Life Back,Who Am I Kidding?

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd… https://t.co/FDg8n8rjAt"
tgt,11/10/2019 13:28,"RT @brianfires: I'm Still Working To Get My Life Back,Who Am I Kidding?

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we…"
