date,tweet
11/10/2019 19:45,The new $AMZN Christmas spot in TV is the fakest thing I ever seen jfc
11/10/2019 19:50,RT @QUANTUM314_: Free prep live stream tonight - if you want to set yourself up for success follow our live session with hedge fund trained…
11/10/2019 19:51,"$AMZN $MSFT $V $MA $FB   ... 
 
With a market at record highs, these are the most loved stocks on Wall Street right… https://t.co/0xWVpgSO4E"
11/10/2019 19:53,$AMZN when in doubt buy ... https://t.co/WSy6jnqlqn
11/10/2019 19:54,$AMZN Buying The Elliott Wave Dips At Blue Box Area https://t.co/dN7omleFnt  #Elliottwave #Amazon #Stocks #Trading
11/10/2019 20:01,@SnipKlot @BernieSanders @realDonaldTrump @JeffBezos @MikeBloomberg @HowardSchultz @amazon @SenWarren You might nee… https://t.co/VcdlKOuvPC
11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
11/10/2019 20:05,@Lau1Keith @StockCats Uncle Warren’s dumbest mistake ever:  Not buying $AMZN decades ago!  🤣
11/10/2019 20:12,The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Pow… https://t.co/RRoTmIR6DQ
11/10/2019 20:15,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
11/10/2019 20:26,There's almost nothing more American than punishing the most successful and innovative companies for being successf… https://t.co/KLqP0YXLuG
11/10/2019 20:30,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/UZe9rL8PKO

$NFLX $TSLA $AAPL $PCLN $GS $FB $AMZN $GOOGL $NVDA"
11/10/2019 20:33,Investing For Beginners by Ryan Smith: https://t.co/iqtRSLcSsk $AAPL $SPY $TSLA $AMZN $NFLX $VIX $ADM $PEP $KO $BRK
11/10/2019 20:38,"$BXP
I see tight price action and lots of inside days!
Anal-yst price target 156$
#stocktrading #stockstowatch 
$FB… https://t.co/6FU8NIE2tY"
11/10/2019 20:42,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
11/10/2019 20:44,"RT @MrDavidUnicorn: For those unaware of my investment philosophy, it's simple. I find the best performing companies with great long term g…"
11/10/2019 20:44,How to find the best bull call spread opportunities in $AMZN $AAPL $MSFT $TSLA  https://t.co/4xSxEJC62m via @YouTube
11/10/2019 20:46,"#Levermann #Global #MegaCap #Sell WK45 $AAPL (2), $GOOGL (2), $AMZN (0), $JPM (1), $JNJ (1), $WMT (-1), $XOM (-4),… https://t.co/nNvxfspXmh"
