date,tweet
11/10/2019 19:16,"$IM $ONE
$BORN $OUT $A $KEG
$ADS $ARE $HD"
11/10/2019 19:16,"$IM $ONE
$BORN $OUT $A $KEG
$ADS $ARE $HD"
11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
11/10/2019 20:51,"#Levermann #Global #BigCap #Sell WK45 $T (-2), $HD (2), $DIS (-4), $UNH (0), $MRK (2), $CSCO (0), $CMCSA (0), $PEP… https://t.co/ssn0le0buI"
11/10/2019 20:51,"#Levermann #Global #BigCap #Sell WK45 $T (-2), $HD (2), $DIS (-4), $UNH (0), $MRK (2), $CSCO (0), $CMCSA (0), $PEP… https://t.co/ssn0le0buI"
11/10/2019 21:47,"$TWO $DATA
$IM $TOO $HD
$IT $CRY $TOO $MAIN"
11/10/2019 21:47,"$TWO $DATA
$IM $TOO $HD
$IT $CRY $TOO $MAIN"
11/10/2019 22:28,"RT @permabear_uk: Walmart $WMT is trading at new historic highs, currently +1.9% at $119.44. S/t over-stretched. I would note the key 10MA…"
11/10/2019 22:28,"RT @permabear_uk: Walmart $WMT is trading at new historic highs, currently +1.9% at $119.44. S/t over-stretched. I would note the key 10MA…"
11/11/2019 0:18,Will $SBUX hold 200 day MA or break down: $spy $dia $uco $iwm $gld $cmg $mcd $YUM $xle $xlk $xlf $xlb $xli $xlp… https://t.co/1mcX7WoQqZ
11/11/2019 0:22,"$twtr near $27 critical level. Will it keep going down or turn up?
$spy $dia $uco $gld $iwm $fb $snap $xle $xlk… https://t.co/jlovlRICcV"
11/11/2019 2:30,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/eMMcMP3h1Z

$NFLX $TSLA $AAPL $HD $GS $FB $AMZN $GOOGL $NVDA"
11/11/2019 3:23,Home Depot $HD Coverage Initiated by Analysts at Nomura https://t.co/BxxMV0p45C
11/11/2019 3:25,Home Depot $HD Coverage Initiated by Analysts at Nomura  https://t.co/R8yJJZHWKy
11/11/2019 3:32,Home Depot $HD Now Covered by Nomura https://t.co/h0PCTk9W2K
11/11/2019 3:33,Home Depot $HD Now Covered by Analysts at Nomura https://t.co/wbwgBMLo1Q
11/11/2019 7:16,"$HE $DO $HOT
$I $DO $HD
$FOR $A $GLOB"
11/11/2019 9:19,Edward Jones Downgrades Home Depot $HD to Hold https://t.co/n3ecvSE3tI
11/11/2019 9:38,"$HD in Uptrend: price expected to rise as it breaks its lower Bollinger Band on November 5, 2019. View odds for thi… https://t.co/qynHrLaC4a"
11/11/2019 12:06,"#Levermann #US #BigCap #Sell WK45 $T (-2), $HD (2), $DIS (-4), $UNH (0), $MRK (2), $CSCO (0), $CMCSA (0), $PEP (0),… https://t.co/emgq4Rexz0"
11/11/2019 12:12,Home Depot $HD Rating Lowered to Hold at Edward Jones  https://t.co/GTgkD3rMRC
11/11/2019 12:15,Home Depot $HD Rating Lowered to Hold at Edward Jones https://t.co/1qS5ornmN0
11/11/2019 12:25,👎🏻 $HD DOWNGRADE TO HOLD AT EDWARD JONES
11/11/2019 12:27,"RT @TradeFlags: #Levermann #US #BigCap #Sell WK45 $T (-2), $HD (2), $DIS (-4), $UNH (0), $MRK (2), $CSCO (0), $CMCSA (0), $PEP (0), $C (1),…"
11/11/2019 12:34,Do you know that #WallStreet price for $HD is $234.18 https://t.co/SXGL9Z55u7
11/11/2019 12:35,Unicorn Bay rating for $HD is 3.59 out of 5. https://t.co/nbShyv8gwu
11/11/2019 12:40,RT @WallStJesus: 👎🏻 $HD DOWNGRADE TO HOLD AT EDWARD JONES
11/11/2019 13:00,Top stocks on trend BREAKOUT watchlist: $AMZN $FB $HD $VZ $CVX $KO $PFE $BA $TBC $TBB
11/11/2019 13:01,I took the proceeds from $LB and invested them into $HD. A quick performance check since LB has been sold in beginn… https://t.co/VUZBdyxuMq
11/11/2019 13:05,"$HD $LOW $ROST $WMT:

Factors Setting the Tone for Home Depot (HD) in Q3 Earnings:

https://t.co/IfCG4lcXsT"
11/11/2019 13:15,"UPGRADES : $BIDU 

DOWNGRADES : $RLGY $QCOM $HD $CSCO $ACRX

#Stocks #StockMarket"
11/11/2019 13:25,"I know it's still under five bucks, but with all the upgrades to $PLUG , I think it's time @jimcramer I've been a h… https://t.co/4ezhNOHYpM"
11/11/2019 13:34,$HD short % to float is 36.26% https://t.co/BKFgkMmKWm $LOW 1.06% $LL 36.26%
11/11/2019 13:40,Zacks: Brokerages Anticipate Home Depot Inc $HD to Announce $2.52 EPS https://t.co/0QexCYftyV
11/11/2019 13:41,Zacks: Brokerages Anticipate Home Depot Inc $HD to Announce $2.52 EPS https://t.co/E4IED2GXNo #stocks
11/11/2019 13:50,"11/11 Upgrades:

$BIDU $W

11/11 Downgrades:

$CSCO $EXPE $HD $QCOM"
11/11/2019 13:55,Try our swing trading service built for individuals who want to trade longer-term timeframes around their full-time… https://t.co/SgWgkKRRBs
11/11/2019 13:56,"TODAY on #MorningTradeLive:

🔹 @hsilverb talks company buybacks
🔹 Downgrades in $QCOM $CSCO $HD $LITE
🔹 Mike Pisani… https://t.co/LPw2xzQ3a4"
11/11/2019 14:02,"#investing Monday's Top Analyst Upgrades and Downgrades PART 2 

$HPE $HD $NVDA $OXY $PEB $QCOM $SWKS $SMAR $SPLK… https://t.co/sO7YwXWnKs"
11/11/2019 14:02,"Long Watches: $TSLA, $WBA, $ASMB, $NKTR, $SPWR, $SCOR! Short Watches: $QCOM, $BA, $HD!"
11/11/2019 14:13,Downgrades 11/11: $ACRX $ANAB $BBT $CPAC $CSCO $CTMX $EXPE $EYPT $GDOT $HD $LB $LITE $MOD $MT $NEXA $NLS $NWL $OFS… https://t.co/TDiH3cPNBq
11/11/2019 14:24,"Favs: $TSLA over 343, $SCOR over 3.60, $BA under 348.50, $HD under 230.00!"
11/11/2019 14:29,"Btw, Estimated #Earnings Per Share for $HD is $1.59 it's 0.68% of the current price https://t.co/bP5BgBr8Oa"
11/11/2019 14:29,"Follow me and turn on your notifications for these great calls!

Join my FREE Discord: https://t.co/0npLnxmLI6… https://t.co/kl3V2Wvmg3"
11/11/2019 14:31,"RT @ScalpMaster1: Favs: $TSLA over 343, $SCOR over 3.60, $BA under 348.50, $HD under 230.00!"
11/11/2019 14:43,$HD showing up in our top breakout selection. https://t.co/dVFdTiy6cj
11/11/2019 14:47,"$SEE $MR $HD $FOR $HUBS
$EAT $TOO $RAD
$STAY $MR $AFT"
11/11/2019 14:52,Fell Below 50 DMA today: $TRGP $TECK $SIL $OII $OIH $WPX $VALE $UN $MNLO $MWA $MTDR $KOL $XOM $AMZN $HD $FCG $EOG… https://t.co/Wdzrf9xNPE
11/11/2019 15:01,RT @GazelleTips: Another Boring Day... Get brains sharpened until next busy day $SPY $SQ $MSFT $AAPL $AMZN $ROKU $BABA $NFLX $FB $AMD $TSLA…
11/11/2019 15:06,"Buy $W CALL  ||  86 Strike Price || Nov 15  @ 0.70

$SPY $SQ $MSFT $AAPL $AMZN $ROKU $BABA $NFLX $FB $AMD $TSLA… https://t.co/YetC1C31nM"
11/11/2019 15:08,$hd is a fader
11/11/2019 15:12,"$HD at first it all looks so pretty, but then we lift the carpet and 🤮💩 https://t.co/SZGet4Eyas"
11/11/2019 15:15,"RT @TDANetwork: TODAY on #MorningTradeLive:

🔹 @hsilverb talks company buybacks
🔹 Downgrades in $QCOM $CSCO $HD $LITE
🔹 Mike Pisani on $VIX…"
11/11/2019 15:30,Monday's Top Analyst Upgrades and Downgrades PART 2 $HPE $HD $NVDA $OXY $PEB $QCOM $SWKS $SMAR $SPLK $TSLA $UAL… https://t.co/9TaSeklv32
11/11/2019 15:31,$HD 230 support intraday watch #HD
11/11/2019 15:32,Get to know the consumer discretionary sector #ETF $XLY. Top holdings include $AMZN $HD $MCD $NKE $SBUX $LOW $BKNG… https://t.co/7RctdMODP4
11/11/2019 15:42,RT @247WallSt: Monday's Top Analyst Upgrades and Downgrades PART 2 $HPE $HD $NVDA $OXY $PEB $QCOM $SWKS $SMAR $SPLK $TSLA $UAL $WMGI https:…
11/11/2019 15:44,"$AMZN $HD $MCD $NKE $SBUX:

XLY: Consumer Looks Hazy:

https://t.co/R7aGG8njQX"
11/11/2019 16:01,"Bulls new Target for
$TSLA 365
$NVDA 214
$AAPL 265
$CAT 152

$ADBE #FF $AXP $IBM $CSCO $CVX $DIS $DD $JNJ $JPM $MCD… https://t.co/meRA5u0THf"
11/11/2019 16:01,RT @OpenOutcrier: Downgrades 11/11: $ACRX $ANAB $BBT $CPAC $CSCO $CTMX $EXPE $EYPT $GDOT $HD $LB $LITE $MOD $MT $NEXA $NLS $NWL $OFS $ORA $…
11/11/2019 16:47,$HD  new low
11/11/2019 17:28,$HD Pullback to $230 support on light volume
11/11/2019 17:44,"RT @GazelleTips: Buy $W CALL  ||  86 Strike Price || Nov 15  @ 0.70

$SPY $SQ $MSFT $AAPL $AMZN $ROKU $BABA $NFLX $FB $AMD $TSLA $DIS $GOOG…"
11/11/2019 17:46,$HD #Options OI chart. Free stocks app https://t.co/hgyHiwuLNm https://t.co/OhnKs5klOK
