date,tweet
11/10/2019 18:14,U know I keep that gas but I am sippin on some oil $low https://t.co/QY6AdwDQzQ
11/10/2019 18:14,U know I keep that gas but I am sippin on some oil $low https://t.co/QY6AdwDQzQ
11/10/2019 18:14,U know I keep that gas but I am sippin on some oil $low https://t.co/QY6AdwDQzQ
11/10/2019 23:48,"2019 Dividend Champions List
133 U.S. Companies with 25+ Consecutive Years of Dividend Increases!… https://t.co/M5p9IPrSdC"
11/10/2019 23:48,"2019 Dividend Champions List
133 U.S. Companies with 25+ Consecutive Years of Dividend Increases!… https://t.co/M5p9IPrSdC"
11/10/2019 23:48,"2019 Dividend Champions List
133 U.S. Companies with 25+ Consecutive Years of Dividend Increases!… https://t.co/M5p9IPrSdC"
11/11/2019 0:33,"I’ll be damn if I don’t make a bag, thinking $low, living fa$t"
11/11/2019 0:33,"I’ll be damn if I don’t make a bag, thinking $low, living fa$t"
11/11/2019 1:33,"RT @TheBroReginald: I’ll be damn if I don’t make a bag, thinking $low, living fa$t"
11/11/2019 1:33,"RT @TheBroReginald: I’ll be damn if I don’t make a bag, thinking $low, living fa$t"
11/11/2019 1:45,Lowe’s Companies $LOW Coverage Initiated by Analysts at Nomura https://t.co/hPUPoItgwg
11/11/2019 1:45,Lowe’s Companies $LOW Coverage Initiated by Analysts at Nomura https://t.co/hPUPoItgwg
11/11/2019 5:38,"New trade alert in $LOW

Log in at https://t.co/emYu9xWnR8 for more info! https://t.co/PE5SSEEUBc"
11/11/2019 5:38,"New trade alert in $LOW

Log in at https://t.co/emYu9xWnR8 for more info! https://t.co/PE5SSEEUBc"
11/11/2019 9:46,"$FOR $A $GUT
$IT $SEE $MR $LOW $FOR $SEAS
$MMM!"
11/11/2019 9:46,"$FOR $A $GUT
$IT $SEE $MR $LOW $FOR $SEAS
$MMM!"
11/11/2019 10:06,"$LOW's price moved above its 50-day Moving Average on October 30, 2019. View odds for this and other indicators:… https://t.co/Q8BvMxxJkB"
