date,tweet
11/10/2019 17:57,"Ngl they r using Kāí as their toy now
Like d crop tops they're using are getting more?? Idek what to say?? 
&amp; the t… https://t.co/fe8mCreZnH"
11/10/2019 17:57,"Ngl they r using Kāí as their toy now
Like d crop tops they're using are getting more?? Idek what to say?? 
&amp; the t… https://t.co/fe8mCreZnH"
11/10/2019 22:17,Buying $F $APLE $BAC $M and more on Monday.  What are you buying?
11/10/2019 22:17,Buying $F $APLE $BAC $M and more on Monday.  What are you buying?
11/10/2019 23:00,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! https://t.co/Nh8zBO7e8E $M $TJX $SQ $PCLN
11/10/2019 23:00,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! https://t.co/Nh8zBO7e8E $M $TJX $SQ $PCLN
11/10/2019 23:04,RT @1passiveincome1: Buying $F $APLE $BAC $M and more on Monday.  What are you buying?
11/10/2019 23:04,RT @1passiveincome1: Buying $F $APLE $BAC $M and more on Monday.  What are you buying?
11/10/2019 23:25,Having a trusted team on your side will make all the difference when investing. Have you tried OptionAlarm yet? Fre… https://t.co/f8NWtEBlC1
11/10/2019 23:25,Having a trusted team on your side will make all the difference when investing. Have you tried OptionAlarm yet? Fre… https://t.co/f8NWtEBlC1
11/11/2019 0:01,"Hey @LiberalParty restore the money to our firefighters
#bushfires
And then ADD SEVERAL $M https://t.co/SMYKgheMyD"
11/11/2019 0:02,"RT @slsandpet: Hey @LiberalParty restore the money to our firefighters
#bushfires
And then ADD SEVERAL $M https://t.co/SMYKgheMyD"
11/11/2019 0:03,"RT @slsandpet: Hey @LiberalParty restore the money to our firefighters
#bushfires
And then ADD SEVERAL $M https://t.co/SMYKgheMyD"
11/11/2019 0:11,"RT @slsandpet: Hey @LiberalParty restore the money to our firefighters
#bushfires
And then ADD SEVERAL $M https://t.co/SMYKgheMyD"
11/11/2019 0:18,Will $SBUX hold 200 day MA or break down: $spy $dia $uco $iwm $gld $cmg $mcd $YUM $xle $xlk $xlf $xlb $xli $xlp… https://t.co/1mcX7WoQqZ
