date,stock,tweet
11/10/2019,tgt,Value Investing: A Value Investor's Journey Through The Unknown: https://t.co/NpZH65l0ig $SPY $KO $PEP $TGT $WMT $M $KSS $STX $WDC
11/10/2019,tgt,Target $TGT Coverage Initiated at Nomura https://t.co/lKagHP8xHW
11/10/2019,tgt,"https://t.co/7iKAfrsy67   BUY!!           $cron $TLRY $lyft $uber $AAPL $TSLA 
$AMZN $TSLA $WMT $TGT $NVDA $SPY… https://t.co/T2QQtMzYxG"
11/10/2019,tgt,4 Retail Giants Poised to Beat Earnings Estimates This Month $LOW $ROST $WMT $TGT https://t.co/QDBIA3OV9C
11/10/2019,tgt,"Claim FREE BitBay for watching videos – current returns: 19.6908 $BAY daily

https://t.co/0Qag0r0Oid

$QTL $DAXX… https://t.co/fX0vL9BzWN"
11/10/2019,tgt,$TGT in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators:… https://t.co/Warf1DKiCx
11/10/2019,tgt,"Conglomerates Wanting A Turnaround. 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb… https://t.co/AatuzMU6rU"
11/10/2019,tgt,"We Need Large Dividend Increase Announcements! 
  
$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg… https://t.co/HqKxhIl0Tf"
11/10/2019,tgt,"I'd Like To See Accurate Sum Of The Parts For Conglomerates! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm… https://t.co/GwGGbnlttP"
11/10/2019,tgt,Shareholder Yield: A Better Approach to Dividend Investing by Mebane Faber: https://t.co/k7kV33y7FD $HD $TGT $WMT $BBBY $KSS
11/10/2019,tgt,"I Played Golf At Winged Foot With a Few Of Cramer's NYSE Buddy's Several Yrs. Ago. I Kept The Card. 

$aapl $amzn… https://t.co/qCQnO5CuhW"
11/10/2019,tgt,"Was A Little Nervous Then  Called An Alcoholic When I Started Playing Better After a Beer. 

$aapl $amzn $agn $brk… https://t.co/fImJi4KBXa"
11/10/2019,tgt,"I Broke 100 At Winged Foot! 
Nice Place! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr… https://t.co/aMKDoaBo7F"
11/10/2019,tgt,"The Best Part Was Someone Else Kept Score! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr… https://t.co/78je8scyoV"
11/10/2019,tgt,"My Caddie Keeps Score Too

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb $ge $wfc $jpm… https://t.co/eHXIWuFfKg"
11/10/2019,tgt,"RT @brianfires: The Best Part Was Someone Else Kept Score! 

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb $ge…"
11/10/2019,tgt,"RT @brianfires: My Caddie Keeps Score Too

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we $qsr $fb $ge $wfc $jpm $bac $c…"
11/10/2019,tgt,"I'm Still Working To Get My Life Back,Who Am I Kidding?

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd… https://t.co/FDg8n8rjAt"
11/10/2019,tgt,"RT @brianfires: I'm Still Working To Get My Life Back,Who Am I Kidding?

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg $we…"
11/10/2019,tgt,"We'll Know Soon If I Play Pebble Beach During Thanksgiving.

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm… https://t.co/SR1WJzEPcd"
11/10/2019,tgt,"RT @brianfires: We'll Know Soon If I Play Pebble Beach During Thanksgiving.

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg…"
11/10/2019,tgt,"RT @brianfires: We'll Know Soon If I Play Pebble Beach During Thanksgiving.

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg…"
11/10/2019,wmt,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019,wmt,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019,wmt,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
11/10/2019,wmt,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019,wmt,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019,wmt,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019,wmt,"RT @Investingcom: 3 stocks to watch this week... https://t.co/pEiXkETunZ

✅ Tilray $TLRY
✅ Walmart $WMT
✅ Nvidia $NVDA

#Tilray #Walmart #N…"
11/10/2019,wmt,"Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell… https://t.co/dwszuHYPY7"
11/10/2019,wmt,New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
11/10/2019,wmt,RT @mchaudhry82: Stocks To 👀: $NVDA $AMAT $WMT $JD $CSCO $CGC $TLRY $OSTK $SWKS $GOOS $DIS $NFLX $BABA $MSFT $AMD $SBUX $WW $BAC $C $JPM $O…
11/10/2019,wmt,"Third-quarter earnings season continues in the week ahead, with dozens of companies set to post operating results o… https://t.co/7r4fkB4qmM"
11/10/2019,wmt,"Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA… https://t.co/gMPnjJkzPe"
11/10/2019,wmt,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
11/10/2019,wmt,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
11/10/2019,wmt,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019,wmt,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
