date,tweet
11/10/2019 14:36,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019 14:42,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019 14:50,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
11/10/2019 15:21,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019 15:21,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019 15:21,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019 15:34,"RT @Investingcom: 3 stocks to watch this week... https://t.co/pEiXkETunZ

✅ Tilray $TLRY
✅ Walmart $WMT
✅ Nvidia $NVDA

#Tilray #Walmart #N…"
11/10/2019 15:44,"Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell… https://t.co/dwszuHYPY7"
11/10/2019 15:47,New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
11/10/2019 15:52,RT @mchaudhry82: Stocks To 👀: $NVDA $AMAT $WMT $JD $CSCO $CGC $TLRY $OSTK $SWKS $GOOS $DIS $NFLX $BABA $MSFT $AMD $SBUX $WW $BAC $C $JPM $O…
11/10/2019 15:52,"Third-quarter earnings season continues in the week ahead, with dozens of companies set to post operating results o… https://t.co/7r4fkB4qmM"
11/10/2019 15:54,"Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA… https://t.co/gMPnjJkzPe"
11/10/2019 15:56,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
11/10/2019 15:56,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
11/10/2019 15:57,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 15:59,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 15:59,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
11/10/2019 16:08,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
11/10/2019 16:09,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 16:12,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
11/10/2019 16:16,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
11/10/2019 16:18,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
11/10/2019 16:18,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 16:29,"quick update--still bullish,still laying off active trading, maybe stepping back into the NAS100 Wednesday for J.P.… https://t.co/WpAnI1Efjf"
11/10/2019 16:30,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/pLTyNLcwUs

$NFLX $TSLA $AAPL $WMT $GS $FB $AMZN $GOOGL $NVDA"
11/10/2019 16:35,"11/11-15, Fed Pres Talks (2/2)

Th- $WMT, $NVDA $AMAT $BAM $BURBY!?
    8:30 PPI; Jobless claims
    10 am Powell @… https://t.co/S2lwWAVqqs"
11/10/2019 16:37,"RT @art2i: 11/11-15, Fed Pres Talks (2/2)

Th- $WMT, $NVDA $AMAT $BAM $BURBY!?
    8:30 PPI; Jobless claims
    10 am Powell @ Hs Budget

F…"
11/10/2019 16:37,"RT @IndexModel: quick update--still bullish,still laying off active trading, maybe stepping back into the NAS100 Wednesday for J.P. Fedstac…"
11/10/2019 16:43,Walmart $WMT Now Covered by Nomura https://t.co/2EJ6XVFIF6
11/10/2019 16:53,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 16:56,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
11/10/2019 17:09,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
11/10/2019 17:10,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
11/10/2019 17:18,Short sale vol (not short interest) for $WMT on 2019-11-08 is 48%. https://t.co/CF929p5pJ4 $COST 31% $EBAY 36% $DLTR 33%
11/10/2019 17:29,"This #earnings season may be winding down, but there are still some important releases due out this coming week. He… https://t.co/8fHkPpwytq"
11/10/2019 17:37,"#Nvidia, #Walmart, and #Cisco: main earnings this week with no-buyback #blackout.
More details:… https://t.co/mqvvOhA4lf"
11/10/2019 17:38,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
11/10/2019 17:46,#GG #MegaCap #SELL WK45 $WMT   #growthstocks #stocks #finance #investment https://t.co/7zD513RFz2 https://t.co/XxVR3eo7rx
11/10/2019 17:55,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
11/10/2019 18:00,"$WMT $LULU $COST $RH $BURL   Walmart, Lululemon Lead Five Stocks Near Buy Points After Bullish Rebounds  https://t.co/UxPXxyEhCs"
11/10/2019 18:00,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 18:12,Best way to play BABA singles day and   $WMT earnings is through $XRT index. @OptionsPastor @wallstreetstock
11/10/2019 18:13,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
11/10/2019 18:25,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/1C37H1cTsb? Winning… https://t.co/VJVm9eDRom"
11/10/2019 18:29,"$COST on my radar this week, started to break out of a tight  BB set up and came back in Friday, See if it holds th… https://t.co/zLaXmGKuug"
11/10/2019 18:37,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
11/10/2019 18:38,"RT @MadMraket: $WMT $LULU $COST $RH $BURL   Walmart, Lululemon Lead Five Stocks Near Buy Points After Bullish Rebounds  https://t.co/UxPXxy…"
11/10/2019 18:48,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
